,Stage Name,Full Name,Date of Birth,Group,Country,Height,Weight,Gender,Year of Birth,Age
0,2Soul,Kim Younghoon,1997-09-10,7 O'clock,South Korea,172,55,M,1997,26
1,A-min,Cho Minwoo,2004-05-22,EPEX,South Korea,175,54,M,2004,19
2,A-ra,Choi Eunji,2003-07-25,Girls' World,South Korea,158,0,F,2003,20
3,A.M,Seong Hyunwoo,1996-12-31,Limitless,South Korea,181,62,M,1996,27
4,Ace,Jang Wooyoung,1992-08-28,VAV,South Korea,177,63,M,1992,31
5,Aeji,Kwon Aeji,1999-10-25,Hashtag,South Korea,163,0,F,1999,24
6,AhIn,Lee Ahin,1999-09-27,MOMOLAND,South Korea,160,44,F,1999,24
7,Ahra,Go Ahra,2001-02-21,Favorite,South Korea,0,0,F,2001,22
8,Ahxian,Park Sungkook,1996-03-27,VANNER,South Korea,177,60,M,1996,27
9,Ahyeon,Jung Ahyeon,2007-04-11,BABYMONSTER,South Korea,0,0,F,2007,16
10,Ahyoon,Choi Subin,2004-10-23,BOTOPASS,South Korea,0,0,F,2004,19
11,Ahyoon,Shin Ahyoon,2003-09-24,Queenz Eye,South Korea,0,0,F,2003,20
12,Ahyoung,Cho Jayoung,1991-05-26,Dal Shabet,South Korea,0,0,F,1991,32
13,Ahyung,Kang Ahyoung,1996-08-27,P.O.P,South Korea,0,0,F,1996,27
14,Ailee,Lee Yejin,1989-05-30,,South Korea,165,0,F,1989,34
15,Aini,Kim Heejung,1991-07-13,,South Korea,163,44,F,1991,32
16,Aisha,Heo Yoorim,2000-07-21,Everglow,South Korea,0,0,F,2000,23
17,Aki,Jang Minju,2001-02-12,MAJORS,South Korea,168,48,F,2001,22
18,Alex,Alexander Schmidt Lee,2004-10-06,DRIPPIN,Germany,180,0,M,2004,19
19,AleXa,Kim Seri,1996-12-06,,USA,0,0,F,1996,27
20,Alice,Song Joohee,1990-03-21,Hello Venus,South Korea,166,47,F,1990,33
21,Alice,Cheon Jaeyoung,2002-02-20,TRACER,South Korea,0,0,F,2002,21
22,Allen,Allen Ma,1999-04-26,CRAVITY,USA,0,0,M,1999,24
23,Amber,Amber Josephine Liu,1992-09-18,f(x),USA,167,0,F,1992,31
24,Andy,Lee Sunho,1981-01-21,Shinhwa,South Korea,175,62,M,1981,42
25,Andy,Lui Chunyeung,1994-10-06,7 O'clock,Hong Kong,0,0,M,1994,29
26,Anne,Lee Seoyoung,2000-10-17,GWSN,South Korea,0,0,F,2000,23
27,Anthony,Anthony Lo,1998-03-12,VARSITY,China,179,0,M,1998,25
28,Ara,Lee Yunji,2002-01-23,ILY:1,South Korea,158,0,F,2002,21
29,Aran,Jeong Eunah,2004-10-11,FIFTY FIFTY,South Korea,162,44,F,2004,19
30,Arang,Son Mnjung,2000-03-08,,South Korea,0,0,F,2000,23
31,Arang,Park Yerim,2001-01-22,Pink Fantasy,South Korea,167,49,F,2001,22
32,Areum,Kim Daun,1998-01-31,AREAL,South Korea,0,0,F,1998,25
33,Ari,Kim Sunyoung,1994-10-23,Tahiti,South Korea,0,0,F,1994,29
34,Aria,Baby Gauthami,2003-03-12,X:IN,India,0,0,F,2003,20
35,Arie,Jeon Minjae,2000-04-07,MIXX,South Korea,163,45,F,2000,23
36,Arin,Choi Yewon,1999-06-18,Oh My Girl,South Korea,163,47,F,1999,24
37,Aron,Kwak Youngmin,1993-05-21,NU'EST,South Korea,0,0,M,1993,30
38,Arthur,Jang Yunho,2000-04-15,Kingdom,South Korea,176,57,M,2000,23
39,Asa,Enami Asa,2006-04-17,BABYMONSTER,Japan,0,0,F,2006,17
40,Asahi,Hanada Asahi,2001-08-20,Treasure,Japan,0,0,M,2001,22
41,Ashley,Ashley Choi,1991-11-09,Ladies' Code,South Korea,0,0,F,1991,32
